RegionID,city_state,latitude,longitude
21318,"Wilmer, AL",30.823242,-88.3614
36819,"Cottondale, AL",33.199806,-87.45302
40131,"Odenville, AL",33.677322,-86.396645
43702,"Haleyville, AL",34.226486,-87.621414
18509,"Hayden, AL",33.8926,-86.757774
44702,"Columbiana, AL",33.178173,-86.60721
33694,"Roanoke, AL",33.15224,-85.37482
25283,"Jackson, AL",34.769245,-85.98679
11414,"Fayette, AL",33.73035,-87.741905
53384,"Monroeville, AL",31.527822,-87.32463
26926,"Salem, AL",32.5968,-85.238556
35579,"Fairfield, AL",33.491684,-86.91503
11785,"Hamilton, AL",34.142086,-87.98902
54046,"Rainbow City, AL",33.954914,-86.04141
36927,"Pleasant Grove, AL",33.49094,-86.97027
24557,"Elba, AL",31.41461,-86.067726
13571,"Rogersville, AL",34.82562,-87.29453
47656,"Sheffield, AL",34.765087,-87.69864
32219,"Jemison, AL",32.95964,-86.74521
44533,"Centre, AL",34.152042,-85.678856
50229,"Lincoln, AL",33.61316,-86.11831
48822,"Citronelle, AL",31.093784,-88.23428
42454,"Gurley, AL",34.701756,-86.37582
43800,"Elberta, AL",30.414413,-87.59815
106626,"Saks, AL",33.711918,-85.84783
36638,"Irondale, AL",33.53816,-86.70721
38480,"Falkville, AL",34.36843,-86.908615
21783,"Headland, AL",31.351284,-85.342155
43344,"Fultondale, AL",33.60546,-86.80245
44838,"Dadeville, AL",32.831238,-85.76357
12850,"Moundville, AL",32.997623,-87.630005
23002,"Heflin, AL",33.648994,-85.587456
51688,"Demopolis, AL",32.51783,-87.83682
11495,"Fort Mitchell, AL",32.341537,-85.0216
34074,"Southside, AL",33.92454,-86.02247
4263,"Crossville, AL",34.287594,-85.99414
10191,"Ashville, AL",33.83692,-86.25498
53274,"Meridianville, AL",34.870323,-86.57136
31965,"Hartford, AL",31.101967,-85.69776
5646,"Lineville, AL",33.31067,-85.7544
38561,"Forestdale, AL",33.574097,-86.889915
33401,"Phil Campbell, AL",34.351643,-87.70538
56909,"Greensboro, AL",32.704575,-87.59584
44535,"Centreville, AL",32.94457,-87.1386
27471,"Trinity, AL",34.60676,-87.08835
105065,"Lake Purdy, AL",33.43469,-86.683075
44695,"Collinsville, AL",34.26483,-85.86086
6096,"Munford, AL",33.529827,-85.9508
40137,"Ohatchee, AL",33.783432,-86.00247
54794,"Union Springs, AL",32.14475,-85.716095
57092,"Clay, AL",33.24234,-85.81965
43878,"Altoona, AL",34.025608,-86.32588
56112,"Orange Beach, AL",30.294369,-87.57359
30870,"Chickasaw, AL",30.7638,-88.07472
54661,"Tarrant, AL",33.58344,-86.772766
10031,"Abbeville, AL",31.57021,-85.25033
36079,"Pinson, AL",33.68899,-86.68332
17929,"Eight Mile, AL",30.763521,-88.126945
42350,"Evergreen, AL",31.4335,-86.95692
15976,"Satsuma, AL",30.853241,-88.056114
20707,"Summerdale, AL",30.487696,-87.69971
29546,"Weaver, AL",33.752045,-85.811356
47702,"Silverhill, AL",30.545471,-87.751656
24909,"Gordo, AL",33.320118,-87.902794
57005,"Laceys Spring, AL",34.53426,-86.60416
10040,"Adamsville, AL",33.60094,-86.95611
48065,"Tuskegee, AL",32.424053,-85.69087
6330,"Opp, AL",31.282122,-86.25584
5475,"Lafayette, AL",32.89985,-85.40106
31276,"Duncanville, AL",33.061787,-87.44222
53438,"Mount Olive, AL",33.684635,-86.87547
39777,"Midfield, AL",33.461582,-86.90861
105611,"Moores Mill, AL",34.854126,-86.52115
37137,"Andalusia, AL",31.308062,-86.48242
7827,"West Blocton, AL",33.118176,-87.12499
31043,"Cordova, AL",33.75967,-87.18317
34534,"Vance, AL",33.174286,-87.23361
12979,"Newton, AL",31.339327,-85.60505
8211,"Chunchula, AL",30.924269,-88.2073
16664,"Eclectic, AL",32.63541,-86.03441
